,title,year,genre,country,url,poster-path,description,vote_average,vote_count,tmdb-poster,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
922,Forbidden Music,1936,Musical,UK,https://rarefilmm.com/2020/11/forbidden-music-1936/,https://rarefilmm.com/wp-content/uploads/2020/11/forbiddenmusic.jpg,"After discovering that her state is penniless because its citizens spend their time making music instead of money, a European Grand Duchess bans music in her domains. A New York journalist conspires with rogues to stage a concert.",6.0,3.0,https://image.tmdb.org/t/p/original/2qpK6gD57sRWskcO9Cd68bFeyWj.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
923,Zhelanie posmotret film Raynera Vernera Fassbindera,1993,Short,RUSSIA,https://rarefilmm.com/2020/11/zhelanie-posmotret-film-raynera-vernera-fassbindera-1993/,https://rarefilmm.com/wp-content/uploads/2020/11/fassbinder.jpg,A movie buff desperately wants to enter a theater to see a Fassbinder film but the doorman will not let him go because he has no ticket. The film is the confrontation between the two that ends with happy end.,0.0,0.0,https://image.tmdb.org/t/p/original/qRmfkNOYbZdCU9sR9SMR2K6KAgB.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,De boezemvriend,1982,Comedy,NETHERLANDS,https://rarefilmm.com/2020/11/de-boezemvriend-1982/,https://rarefilmm.com/wp-content/uploads/2020/11/boeze.jpg,A quack dentist is mistaken by a corrupt Dutch Colonel for one of Napoleons Inspector Generals during Napoleons occupation in 1811. What follows is a hilarious feast of similar misunderstandings and is only meant for those with a good sense of humor.,6.0,4.0,https://image.tmdb.org/t/p/original/nqF5LTXuCsNLlPjbf8N4gbL4RcU.jpg,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
925,An Eye for an Eye,1966,Western,USA,https://rarefilmm.com/2020/11/an-eye-for-an-eye-1966/,https://rarefilmm.com/wp-content/uploads/2020/11/eyeforaneye.jpg,"Ex-bounty hunter Talion comes home one day to find his house ablaze and his entire family slaughtered. He soon learns that the culprits are a gang led by nasty Ike Slant. While tracking the outlaws, Talion meets fellow bounty hunter Benny, who’s also after Ike. Initially mistrustful of each another, Benny and Talion are forced to work together when, during a shootout with the criminals, the latter is blinded and the former injures his shooting hand.",7.5,11.0,https://image.tmdb.org/t/p/original/mYHcgIjbZMYabccHXsTHoLFnoJS.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
926,A Brand New Life,1973,TV Movie,USA,https://rarefilmm.com/2020/11/a-brand-new-life-1973/,https://rarefilmm.com/wp-content/uploads/2020/11/abrandnewlife.jpg,"A couple in their forties face an unplanned pregnancy after many years of marriage. They long since gave up trying to have children, believing it wasn’t possible. While the husband is thrilled, the wife has conflicting feelings. She is happy with their life, has a job she loves and thinks they are too old to be having their first child, but isn’t sure that having an abortion is the right decision. The pair receive a lot of advice, some solicited and some not, from friends, family, doctors and even strangers. ",0.0,0.0,https://image.tmdb.org/t/p/original/gxwHhIPinvsNsuWNE9c83gc6Pfp.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
927,Paris by Night,1988,Thriller,CANADA,https://rarefilmm.com/2020/11/paris-by-night-1988/,https://rarefilmm.com/wp-content/uploads/2020/11/parisbynight.jpg,"British politician Clara Paige will do anything to get ahead, often to the detriment of her relationship with her husband, Gerald. When Clara believes that former business partner Michael Swanton is blackmailing her, she ruthlessly murders him, and enters an even more tangled situation as his daughter seeks her help in finding him. As the murderous plot thickens, Gerald has a surprising revelation that will further complicate Clara’s life.",5.0,7.0,https://image.tmdb.org/t/p/original/ebAYk798vBQPVkTji4wrLjTRVjD.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
928,The Jesus Trip,1971,Drama,USA,https://rarefilmm.com/2020/11/the-jesus-trip-1971/,https://rarefilmm.com/wp-content/uploads/2020/11/jesustrip2.jpg,"When the police discover that their motorcycles are concealing heroin, Waco and his motorcycle gang hides out in a desert convent. A highway patrolman hunts down the gang after they kidnap a nun, Sister Anna and flee the convent. Soon Waco and the young nun fall in love and she is forced to decide whether or not to leave the church for him.",7.0,2.0,https://image.tmdb.org/t/p/original/ApgbSIhkdrWWJRrV047oGpscdKM.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
929,Clepsydra,1992,Experimental,USA,https://rarefilmm.com/2020/11/clepsydra-1992/,https://rarefilmm.com/wp-content/uploads/2020/11/clepsydraposta.jpg,"Clepsydra is an ancient Greek water clock (literally, “to steal water”). This film envisions the strip of celluloid going vertically through a projector as a sprocketed waterfall (random events measured in discreet units of time), through which the silent dreams of a young girl can barely be heard under the din of an irresistible torrent, an irreversible torment.",0.0,0.0,https://image.tmdb.org/t/p/original/sLHqbIP7U9pxs9x8F8b1cKgteT3.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,Evening in Byzantium,1978,Mini-Series,USA,https://rarefilmm.com/2020/11/evening-in-byzantium-1978/,https://rarefilmm.com/wp-content/uploads/2020/11/eveninginbyzantium.jpg,"While the prestigious Cannes Film Festival goes on around him, American movie producer Jesse Craig struggles to develop a pitch-worthy thriller about a terrorist plot. Before long, Craig becomes concerned that a shocking act of real-life terrorism already may be underway. Meanwhile, radical actor Bret Easton works in cahoots with a group of extremists to coordinate the hijacking of a trio of passenger planes in a devastating, multi-city nuclear attack.",0.0,0.0,https://image.tmdb.org/t/p/original/fmVBJUV5PNWuuON1KBtJAltWDBX.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
931,Sticks and Bones,1973,Theatre,USA,https://rarefilmm.com/2020/11/sticks-and-bones-1973/,https://rarefilmm.com/wp-content/uploads/2020/11/sticksandboness.jpg,A young man returns home from Vietnam blind. He is very bitter about the war and alienates his family and friends. This movie deals with the aftermath of war and how people react to it both veterans and their families.,0.0,0.0,https://image.tmdb.org/t/p/original/rErL943TirOtMPSY35oZEdU9YCj.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
932,Unspeakable Acts,1990,TV Movie,USA,https://rarefilmm.com/2020/11/unspeakable-acts-1990/,https://rarefilmm.com/wp-content/uploads/2020/11/unspeckableacts.jpg,Horrendous acts of sexual abuse were discovered at Miami’s Country Walk Day Care Center in 1984. The ensuing investigations required unprecedented work and a pair of University of Miami psychologists were called upon for assistance. This case paved the way for a successful legislation in the protection of children during court proceedings and mandatory finger printing of adults who work with young children.,5.3,11.0,https://image.tmdb.org/t/p/original/vj5Ta7nkv42RPm4uMS3uRLT4VOU.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
933,Long min,1992,Drama,HONG,https://rarefilmm.com/2020/11/long-min-1992/,https://rarefilmm.com/wp-content/uploads/2020/11/cagemann.jpg,"Cageman is a focused social critique of a uniquely Hong Kong phenomenon: in this city with the world’s most unequal wealth and income gap, many unfortunate middle-aged men can’t afford the most basic lodging, and live in low-rent cages inside squalid tenements. Cageman is a microcosm of Hong Kong, where most citizens must live squeezed into incredibly dense neighbourhoods, prey to monopolistic ‘tycoons’ – the (Chinese government-supporting) land-owning billionaire class – while nevertheless enjoying a way of life that, despite its frictions, forges a uniquely communal, indomitable ‘spirit of Lion Rock’.",7.0,222.0,https://image.tmdb.org/t/p/original/3Rwy4UjWBGEbD23xjyeBsL3OnXQ.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
934,Down Missouri Way,1946,Comedy,USA,https://rarefilmm.com/2020/11/down-missouri-way-1946/,https://rarefilmm.com/wp-content/uploads/2020/11/downmissourii.jpg,"In this musical, agriculture professor Jane Colwell is seeking a quiet getaway when she takes her prized mule off to visit an Ozarks farming community. But upon arrival she is stunned to discover a film crew diligently at work on a new movie. Soon, Jane and her mule companion are swept up in the filmmaking frenzy. While the photogenic mule upstages the production’s human star, Jane finds herself falling for the feature’s dashing producer.",0.0,0.0,https://image.tmdb.org/t/p/original/s5cYJPQOcCjOOM1jXuV6fp7mt3w.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
935,Gangs of the Waterfront,1945,Drama,USA,https://rarefilmm.com/2020/11/gangs-of-the-waterfront-1945/,https://rarefilmm.com/wp-content/uploads/2020/11/gangsofthewater.jpg,"Gang Leader Dutch Malone goes on a hunting trip and is in a car wreck and is confined to the hospital, without the knowledge of any of his gang members. District Attorney Brady induces taxidermist Peter Winkly, who is an exact double for Malone,to impersonate Dutch and assume leadership of the gang. Winkly “takes over” the gang and only Rita, Dutch’s girl friend, has any suspicion that he is not really Dutch. But Dutch sees a newspaper showing him out on the town, escapes from the hospital and is on his way to look up the impostor.",0.0,0.0,https://image.tmdb.org/t/p/original/20jSuR8yQGHeU5i219hA06FAnxj.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
